,r4c10
0,0.0003963883260678594
1,0.0003555331363689986
2,0.0003405238306108962
3,0.00031328418406520973
4,0.00026288289560999126
5,0.0002443309021173417
6,0.0002070537835132296
7,0.00015581862502362599
8,0.0001339635557903476
9,0.00010904625548482344
10,0.00010056737266157396
11,0.00011173888966341532
12,0.00013682061193332788
13,0.00014620886921473726
14,0.0001390485371771858
15,0.00010955089871427233
16,0.00010129158136081896
17,0.00010545496738053704
18,0.00016913104854543746
19,0.00019531089076887525
20,0.00021020684650688642
21,0.0002571339198038181
22,0.0002642480016464304
23,0.0002680771865839533
24,0.00023739774949337568
25,0.000226194058442881
26,0.00021418914455442878
27,0.00019836936467425528
28,0.00019753454834432147
29,0.00019991247077107987
30,0.00021143761904200632
31,0.00021618258772234248
32,0.00023874278099036378
33,0.00028431333339270874
34,0.00030554954712688455
35,0.0003752671961913425
36,0.00046678129085727846
37,0.0005112542555973443
38,0.0006500874233784167
39,0.0007777622102340137
40,0.0008383603624041297
41,0.0010352915632902146
42,0.0011675628873888426
43,0.0012356913731560236
44,0.0014757390676926165
45,0.0015849376207301116
46,0.001644878564416077
47,0.0018309312263826785
48,0.0018686638897962115
49,0.0018873541918540476
50,0.0017454270734229645
51,0.0016731234009570363
52,0.0015776206705536335
53,0.0012343591508898995
54,0.0011233268700736503
55,0.0009649268005983961
56,0.0006618172547539485
57,0.0005875973026739058
58,0.00046503086198931815
59,0.000287861549485461
60,0.0002394687982347198
61,0.0001599467179547574
62,8.289385583229585e-05
63,6.995707740233231e-05
64,6.382013598529323e-05
65,6.260118591890258e-05
66,5.994246585216038e-05
67,5.07894128196139e-05
68,4.4333395485086144e-05
69,4.154235279506557e-05
70,4.592727780884894e-05
71,4.8619370357751794e-05
72,4.987882747668947e-05
73,5.999027245425191e-05
74,6.090455582057033e-05
75,6.0088024161862315e-05
76,2.2012751020852833e-05
77,9.459857613483168e-06
78,0.0
79,4.01412750765214e-05
80,7.032973730526203e-05
81,0.00010206405424585828
82,0.00012943593625602262
83,9.955363487822047e-05
84,6.121167853112897e-05
85,1.8100550127356554e-05
86,2.2304178299124324e-05
87,3.702600164852359e-05
88,5.706184259207923e-05
89,5.765777221382767e-05
90,5.24147688088115e-05
91,4.584565359215118e-05
92,4.4324436805517224e-05
93,4.711594019205488e-05
94,5.408394388497631e-05
95,6.171166187756371e-05
96,0.00011289354455034243
97,0.00014736124240877905
98,0.00016777540235167037
99,0.0002544551687770252
100,0.0002904711493424751
101,0.0003125651862171108
102,0.0003691788115646424
103,0.00038218464777995564
104,0.00039235551949540903
105,0.00044058518417909863
106,0.00045298134458469393
107,0.00046748064684711476
108,0.0004937814063422185
109,0.0004966277948705766
110,0.0004937068544396211
111,0.0004706298810791768
112,0.00044737357848663906
113,0.0004047605202936297
114,0.000348695528467301
115,0.00033723529793869896
116,0.00032719684534376735
117,0.00032344674456646964
118,0.00032466942689721157
119,0.0003481118446570272
120,0.00036486031089530695
121,0.000363401054677408
122,0.00031504687742153054
123,0.00028083240389396673
124,0.0002643593781422524
125,0.0002524797052245354
126,0.00025026124293616375
127,0.0002501614803505125
128,0.00022153333185607284
129,0.00020894501119781997
130,0.00019856552178048006
131,0.00023194920695982036
132,0.00025888557512061453
133,0.000284478060412899
134,0.00028763171484127374
135,0.0002364705074811068
136,0.0001805002977375418
137,0.00012933161962304363
138,0.00016614341918081807
139,0.00022836425031982972
140,0.00030888225685969407
141,0.00030473696251671494
142,0.0002767341721904603
143,0.00024451576282045475
144,0.0002519640146171192
145,0.0003429265185882628
146,0.0004309812182048166
147,0.0004502607760105317
148,0.0004305726924554682
149,0.00040382776548722726
150,0.00038610324519556665
151,0.0003143992252772953
152,0.0002776871509514004
153,0.000258380894537394
154,0.00022156754791091007
155,0.00021549797402105323
156,0.00021462964513231506
157,0.0002665576289273437
158,0.00029185595015502003
159,0.0003198050319832614
160,0.0004101534710765175
161,0.00043425838910480174
162,0.0004665455885581268
163,0.000532695320528098
164,0.0005526180480254496
165,0.0005714100145984769
166,0.0005729134105232163
167,0.000541194579833786
168,0.0004710605700663747
169,0.0003845087994524147
170,0.00037035694952268413
171,0.0003730685220635058
172,0.0003862311196072036
173,0.0003917077739667446
174,0.00040114268299613854
175,0.0004056468319106061
176,0.00040539780676623037
177,0.00037792283145910875
178,0.0003665181024095595
179,0.0003657394319112395
180,0.00045603570023674883
181,0.0005036659302697828
182,0.0005382427914130708
183,0.0005963547387980254
184,0.0006061370690319665
185,0.0006138276503094372
186,0.0007000123578605874
187,0.0007369220554282446
188,0.0007847618712484138
189,0.0008953244283860842
190,0.0009128007017369451
191,0.0009566080222660944
192,0.0010698027129235304
193,0.0011270642394404418
194,0.001250152699083927
195,0.001435398955376754
196,0.0015041181599145374
197,0.0016726681829931174
198,0.001865889407278292
199,0.0019484471881141812
200,0.0021803360095893048
201,0.0023669439976278643
202,0.0024346528448986296
203,0.0026084677887077447
204,0.0026874943307400997
205,0.0026998094023330576
206,0.002553105919376561
207,0.002452891104063137
208,0.0023766182198210035
209,0.00201241412130927
210,0.0018775637371747712
211,0.0017705687765117142
212,0.0014015080651217922
213,0.0013196454379764278
214,0.001221188895823012
215,0.0009726674670580296
216,0.0009163458236922786
217,0.0008402790388852589
218,0.0007137626236168689
219,0.0006951394027072994
220,0.0006631275316792247
221,0.0006139761315517713
222,0.0005925483583380986
223,0.0005558427057481144
224,0.0005217240819986208
225,0.0005186962163962989
226,0.0005197772968043202
227,0.0005233637258054769
228,0.0005258502418720689
229,0.0005344175472984577
230,0.0005392007911434845
231,0.000540112378812615
232,0.0005410754524303452
233,0.0005346016702645806
234,0.0005258530745330863
235,0.00043252965655254515
236,0.0003991419527299375
237,0.0003768994937564396
238,0.0003377491924522614
239,0.0003369235807142266
240,0.00034039514686754006
241,0.0004040801835991951
242,0.0004270245510702592
243,0.00045089575900054686
244,0.0004732561313799067
245,0.0004692864215534126
246,0.0004690119958443105
247,0.00047922495280916343
248,0.0004901899968381742
249,0.0005146833007072556
250,0.000549372472190657
251,0.0005660489701622123
252,0.0005907167472730719
253,0.0005953628093916905
254,0.000573210715417458
255,0.0005319857856354853
256,0.0005249389343562259
257,0.0005465569005239155
258,0.0006500029104700442
259,0.0007024843993406626
260,0.0007230628100431555
261,0.0007383960352578047
262,0.0007412058170899396
263,0.0007418608777322201
264,0.0007257309276962837
265,0.0007240526227357631
266,0.0007240819765746564
267,0.0007661821986109669
268,0.0007739046862350608
269,0.00077536680624212
270,0.0007372963402202413
271,0.0007228606950103515
272,0.0007107885474457323
273,0.0007098241041897079
274,0.0007179053747905611
275,0.0007324939525672408
276,0.0007518715328954107
277,0.0007581285075448532
278,0.0007630197971743959
279,0.0007618560404184418
280,0.0007560226575395825
281,0.0007394395128690253
282,0.0007271503087629393
283,0.0007238871455273254
284,0.0007066092207039597
285,0.0006907927310685064
286,0.0006787441163800305
287,0.0006420254833543956
288,0.0006303210836717332
289,0.0006265252245241564
290,0.0006129399379260238
291,0.000599801309052472
292,0.0005868496046779175
293,0.0005029812356353217
294,0.0004912136458222739
295,0.0004836791410540406
296,0.0005144269604492639
297,0.0005155322274244326
298,0.0004940555830261762
299,0.0004023661124023136
300,0.0003813482034481405
301,0.00038648048716115286
302,0.00043906675336126736
303,0.0004681486879250458
304,0.0005042138789718387
305,0.0005291706808908894
306,0.0005281839498844434
307,0.0005114055072444095
308,0.0004907870968781012
309,0.0004787987774027073
310,0.0004577834520844071
311,0.00044987136294101406
312,0.0004513751324034702
313,0.000480337410385376
314,0.0005049209236130076
315,0.0005252299824937151
316,0.0006107165169244647
317,0.0006569833965483275
318,0.0006960472238711212
319,0.0008042767266874209
320,0.0007978138082435797
321,0.0007860630898840633
322,0.0007232375011819352
323,0.0007252943243619068
324,0.0007398848943397414
325,0.0008093175247880183
326,0.0008411441211086774
327,0.000912332721234377
328,0.0010472631358246494
329,0.0010862990100749868
330,0.0011323174559891918
331,0.00117662964387042
332,0.001202240105665314
333,0.0013108061970923807
334,0.0014401000831804228
335,0.0015075126839138096
336,0.0017322473865287338
337,0.0019154644614326147
338,0.002010076709047873
339,0.0023240702412368366
340,0.0025092023817572537
341,0.0026141551494675706
342,0.0028933085698074987
343,0.0029923596906212546
344,0.003050058007241401
345,0.0031347941977840034
346,0.003125077236650461
347,0.0031075197188462473
348,0.0029710897682209735
349,0.0029207684790933854
350,0.002842152423883391
351,0.002601174744945127
352,0.0025058623942646
353,0.0023397428565951274
354,0.002031298071545001
355,0.001954457876895836
356,0.001817192882705184
357,0.001638984979708565
358,0.0015826906979805521
359,0.0014530499509945378
360,0.0013129075023887665
361,0.0012559319501220278
362,0.0010905091536783757
363,0.000957270429150134
364,0.0009047349640794723
365,0.0007909594845290658
366,0.0007326404727365629
367,0.0007110738991330437
368,0.0006924420868559931
369,0.0006903766411803975
370,0.0006920351797700832
371,0.0006712137827829655
372,0.0006594272670589451
373,0.0006487577536200223
374,0.0006082114796127598
375,0.0005990307941276305
376,0.0005819379883709652
377,0.0004966346119339039
378,0.0004611493693202191
379,0.00040957314910569274
380,0.0003171960889300656
381,0.00029788171740916685
382,0.0002707888960886043
383,0.00024184252147498115
384,0.00024237086567254601
385,0.0002481929085688933
386,0.00025723169330112866
387,0.0002611955759392444
388,0.00026451089126571924
389,0.00026371526215506727
390,0.00026015220105089586
391,0.00024455073840198236
392,0.00023868099785204414
393,0.00024118849739986414
394,0.00025489961017782125
395,0.0002523089704727371
396,0.00024380998509470787
397,0.00016333439687537358
398,0.00014411239189333807
399,0.00013489209895899582
400,0.0001875020723528549
401,0.00020290481604937088
402,0.00021747292084636844
403,0.0002253516281691579
404,0.00022622372045039043
405,0.0002290749400665494
406,0.00023991017973905434
407,0.00024360288333338776
408,0.00024259129339190453
409,0.00023173332083653242
410,0.0002265610125571902
411,0.00022386771846196572
412,0.0002274550968714854
413,0.0002342162322641596
414,0.00023371713606980168
415,0.00022420633040203067
416,0.0002133945831390833
417,0.00019481075489453958
418,0.00018716972028235668
419,0.00018893458015743357
420,0.00020282169145617826
421,0.00021410252738358624
422,0.0002226792646373182
423,0.00026313287016272997
424,0.00028922707575183127
425,0.0003113980987498507
426,0.0003878239778150602
427,0.00039845302466802197
428,0.00040518043894333333
429,0.00039220327174776636
430,0.00038529982782352433
431,0.00037447613669208983
432,0.0003472507157077758
433,0.00036462962022718585
434,0.0004168579127822602
435,0.0005383317245177561
436,0.0005532985714887424
437,0.0005256110843490391
438,0.00045242564497501936
439,0.00043452665144158055
440,0.0004527409730640852
441,0.0004920967512405164
442,0.0005085829317454824
443,0.00048518705055952194
444,0.0004521597795052552
445,0.0004334938196552821
446,0.00041024115905548075
447,0.0004055416499152504
448,0.0004095276708887011
449,0.000437521707981131
450,0.00045346130942233514
451,0.00046504253504296077
452,0.00042644976990889686
453,0.00039004901748005766
454,0.0003544081652792811
455,0.00029537145990787285
456,0.0003132454606552593
457,0.00033336837324054596
458,0.00036929834363394275
459,0.0003753697011663962
460,0.00037581548730297184
461,0.0003537251515645445
462,0.0003288485046138396
463,0.00028769096414874934
464,0.00024123735924600498
465,0.0002512794413824159
466,0.00029095776937709984
467,0.0003383732494640671
468,0.000346486737692974
469,0.0003422030382875651
470,0.00033540558569039803
471,0.0003352256650235865
472,0.00033871239058256387
473,0.00034223802632034984
474,0.00034475324253483125
475,0.0003506656286407438
476,0.0003613460680578761
477,0.00037304797748909476
478,0.0004539876863212594
479,0.00048064128331780056
480,0.0004987307499585439
481,0.0005004503930930307
482,0.0005021951566389565
483,0.000507065746053373
484,0.0005539211654778249
485,0.0005727919173809041
486,0.0006017108649876886
487,0.0006668766986122311
488,0.0006858180802718838
489,0.0007096065495979526
490,0.0007368982112706706
491,0.0007446175860804598
492,0.0007849888265393693
493,0.0008546073853860658
494,0.0008933763980660615
495,0.000979622272418299
496,0.0010578731945103525
497,0.0010858311852131339
498,0.001187841969867796
499,0.0012764126495834964
500,0.0013293312709669234
501,0.0015170288996528422
502,0.001641949561796072
503,0.0017262526353563192
504,0.0019645350840288615
505,0.0020595532737575947
506,0.0021235470394119897
507,0.0022514518009884178
508,0.0022417940144548072
509,0.0022206223947302682
510,0.002036186435129097
511,0.0019731323969851473
512,0.0018768268717725633
513,0.0016137698453303673
514,0.0015482610418257332
515,0.0014451731922935029
516,0.0012750322409519352
517,0.0012297498822363621
518,0.0011443382421177835
519,0.0010357596371772118
520,0.0010069732332035214
521,0.0009650209321029702
522,0.0009277956262929598
523,0.0009111517194871748
524,0.0008454289411272359
525,0.0007873208225038762
526,0.0007589480492949938
527,0.0006496791466542127
528,0.0005849650135134248
529,0.0005544154492612678
530,0.0004999035650041245
531,0.00048552441737386505
532,0.00048161291717486874
533,0.0005139702483344786
534,0.0005260837340730644
535,0.0005361748243578884
536,0.0004336219430920634
537,0.00038591171373139865
538,0.00033514398477623125
539,0.0002702060247228641
540,0.0002815091359494365
541,0.000293497318461001
542,0.00030318434054656086
543,0.0002979763033846294
544,0.00028662763923352204
545,0.00026884661824941693
546,0.00026336518883273243
547,0.00025790714287710493
548,0.0002608210078811459
549,0.0002734797653014854
550,0.0002924893798506971
551,0.00029962317825911537
552,0.00029350558298297993
553,0.00027087136699079295
554,0.00025771296863359223
555,0.0002535617817331342
556,0.0002440917228046117
557,0.00024310394277974508
558,0.00024496394271123075
559,0.00025113915618014607
560,0.0002516508312571093
561,0.00025137219391025296
562,0.00023880611119739284
563,0.00023640558662596804
564,0.0002329499892100377
565,0.00021632222545923689
566,0.00021129189886596054
567,0.00019989578919922098
568,0.00016624287359785317
569,0.00016026951679815448
570,0.00015412979252512701
571,0.00015129294788542713
572,0.0001563757129484804
573,0.00018233842703572266
574,0.00022055993614610822
575,0.00023156417984565808
576,0.0002175017953118588
577,0.00019393011171241203
578,0.00018407596262683294
579,0.00020599252550670063
580,0.00023339338470522737
581,0.00025229042121229536
582,0.00026978857764771837
583,0.00027086713667615287
