,r8c3
0,0.0001319763640539969
1,0.0001141524254185546
2,0.00010958693527933601
3,0.0001117298888627029
4,0.00012998917415847982
5,0.00013923129847336126
6,0.00014887224833169275
7,0.0001502543596430854
8,0.0001379862670114992
9,0.00014963756811111554
10,0.00018833561009604682
11,0.00022686689634382324
12,0.0003207768412749227
13,0.0003804646213807319
14,0.0003922694011182373
15,0.0004044070177277484
16,0.0004152343847056041
17,0.00042549111749932365
18,0.0004883363736886128
19,0.0005072171032881322
20,0.0005138383579698106
21,0.0004959031628642067
22,0.0004909108081965631
23,0.0004872660046997324
24,0.0005305730255243666
25,0.0005342256001751885
26,0.0005261284876099913
27,0.00043431157569176894
28,0.0004000737891935194
29,0.0003779512317675381
30,0.0004051177310961684
31,0.00044999101974054227
32,0.0005375252321598486
33,0.0006594394266610731
34,0.0006865425332143794
35,0.0007979368338858763
36,0.0009552653014621361
37,0.0010399007742365066
38,0.0013283577432044579
39,0.0016072294070835285
40,0.0017518767071645189
41,0.0022565320082035293
42,0.0026118200747772225
43,0.002807612183185921
44,0.003536183266652792
45,0.0038798356008898434
46,0.004076270201855541
47,0.0047290431688668255
48,0.004884273457934203
49,0.004975021025994498
50,0.004678144094348941
51,0.00450419392203529
52,0.004276852945615516
53,0.0034806016584959594
54,0.003228678604015102
55,0.0028541580556503817
56,0.0020914892979382853
57,0.0018730102479114026
58,0.0015247612264854507
59,0.0010432063585944366
60,0.0009345015055099595
61,0.0007526741608234331
62,0.0005706865980897267
63,0.0005315558615574398
64,0.00047631998708136435
65,0.0004299683603979427
66,0.00040437781802998574
67,0.00031434564917862476
68,0.0002558978443242722
69,0.00023638868960991447
70,0.00023529055610660424
71,0.00023610442079691668
72,0.00023524778830466038
73,0.00019461877658974577
74,0.00017761452604979827
75,0.00016562750448401438
76,0.00018046160570849986
77,0.0001907068206599422
78,0.00020129771968903105
79,0.00022182031224881718
80,0.00022027810193770984
81,0.00022165038191258513
82,0.00023964661860607125
83,0.00025836004022047134
84,0.0002718243879218472
85,0.0002602351601548133
86,0.0002247832978425789
87,0.0001600623893122275
88,9.033790919749278e-05
89,8.939554268890641e-05
90,0.00012227788781488634
91,0.00015630336638609656
92,0.0001547977201812363
93,0.00010101749528142835
94,5.623057888007405e-05
95,4.082248038055489e-05
96,2.6724493616043677e-05
97,2.493741622679829e-05
98,2.7656937187701807e-05
99,7.553776956938582e-05
100,9.503466570168173e-05
101,0.00010630673117965385
102,0.00010318774710998556
103,9.40738699840771e-05
104,8.451901789821993e-05
105,5.845937560661428e-05
106,5.110732821735233e-05
107,4.1985435228773796e-05
108,2.1197685273122332e-05
109,1.0963419050935053e-05
110,3.915067036899273e-06
111,1.1216237838386802e-05
112,2.791600199883805e-05
113,6.57827193292194e-05
114,0.00012199119175634404
115,0.00013575493721944526
116,0.00016461984044065776
117,0.00019838095427370973
118,0.0002160342350606314
119,0.00029790457912873
120,0.0003596804220157359
121,0.0003682802455723121
122,0.0002877737720984082
123,0.00023263068189411347
124,0.0002105107368986229
125,0.00026583133018069855
126,0.0003018420046023804
127,0.00032659191313468076
128,0.0003147436513104392
129,0.00029666014621106894
130,0.0002785177688331859
131,0.00027313785514194235
132,0.00028763969158363076
133,0.00030425686259671404
134,0.00033973342395114426
135,0.0003386781673766211
136,0.00034269304314713445
137,0.0003688688691512195
138,0.0003965081853299181
139,0.00042946941924296774
140,0.0004495104978739635
141,0.0004181245595467794
142,0.00032470120790299397
143,0.0002118824150224231
144,0.00019141609553815532
145,0.000209292646539555
146,0.00024066413713406352
147,0.00025277104280437625
148,0.00028774102081792783
149,0.0003105611897773873
150,0.00031947561279564523
151,0.0003324329704106357
152,0.00034019754372249057
153,0.00034585990413913656
154,0.00039630590384496443
155,0.0004208057068799618
156,0.00044001900880156385
157,0.0005215351734326102
158,0.0005453492961356614
159,0.0005713234028233794
160,0.0006656319451236203
161,0.0006927111760463665
162,0.0007351367495959572
163,0.0008489648764912742
164,0.0009094771991836672
165,0.0009856403283956573
166,0.0010645435334362015
167,0.0010458121091995343
