,r6c7
0,0.00019748145947059726
1,0.00020773703279943767
2,0.00020951913019002534
3,0.00021584443686549457
4,0.00023112444317572518
5,0.00023543943848766653
6,0.00024334956329566537
7,0.0002512736915320118
8,0.0002494938948078771
9,0.00025856048024547904
10,0.00027443230987846134
11,0.0002848411289811751
12,0.000323741199117608
13,0.000357399833713242
14,0.00037429967395258236
15,0.00043021318117961345
16,0.0004585358881636608
17,0.0004688959683990422
18,0.0004899346960261453
19,0.0005038409819120446
20,0.0005156366086472543
21,0.0005999094427628041
22,0.0006196612423184859
23,0.0006340225745942801
24,0.0006171564639749224
25,0.0006130563063993078
26,0.0006175734164152566
27,0.0006840085996834302
28,0.0007113891895355536
29,0.0007502460007840447
30,0.0008120008596711946
31,0.0008208386270663982
32,0.0008358476142904115
33,0.0008486046941607743
34,0.0008349078093860785
35,0.0008617300540806823
36,0.0009288990227748373
37,0.0009817867200735337
38,0.001205332450021868
39,0.0014365108432478587
40,0.0015668046945796336
41,0.0020625774762444253
42,0.0024441511002667765
43,0.0026811144267996673
44,0.003690051930205631
45,0.004140172408246416
46,0.004376689590465637
47,0.004898787401184449
48,0.00497714619298499
49,0.005000180315217375
50,0.004386543148344381
51,0.004138176088750098
52,0.003826866725789344
53,0.002852163139203637
54,0.002576139698811323
55,0.002193721475855695
56,0.0014975346046736016
57,0.00135528887782716
58,0.001125761559615317
59,0.0008036346999960058
60,0.000726247275006414
61,0.0005903410403517119
62,0.00044622029924894105
63,0.0004059177098935318
64,0.000335821461069261
65,0.00028199604854191665
66,0.0002664326556181418
67,0.0002567992940631668
68,0.0002496670719835842
69,0.0002418736510826685
70,0.0002055718513221539
71,0.0001837019125595257
72,0.00017001841847286584
73,0.00012144671652454367
74,0.00010439172003328302
75,9.343509953086436e-05
76,0.00010267292276328151
77,0.00010971320489327983
78,0.00011712457931963083
79,0.00013357823767160308
80,0.00013261499256006696
81,0.00013162894599419984
82,0.00013006514312018726
83,0.00012665125180327577
84,0.0001229106282763436
85,0.00012016963565237527
86,0.00012213816506333503
87,0.0001235445139092588
88,0.0001191915980648262
89,0.00010769835867338926
90,7.197552625022077e-05
91,3.776388196223326e-05
92,3.1273843522332784e-05
93,4.605266583137608e-05
94,6.149665532235536e-05
95,6.770087641945663e-05
96,9.655579460867709e-05
97,0.00010785063331167438
98,0.00010843171633726623
99,5.361773402569611e-05
100,2.5613782644537632e-05
101,6.068515881732744e-06
102,0.0
103,6.211553170792095e-06
104,1.3154570580092639e-05
105,1.9274127151724444e-05
106,1.1634967959679833e-05
107,4.980581585128212e-06
108,7.401334156094274e-06
109,1.884910127972801e-05
110,3.616549394402938e-05
111,6.548351085573006e-05
112,7.075204281361012e-05
113,7.940850266284002e-05
114,8.812748803641311e-05
115,8.509806236218333e-05
116,7.702263062314001e-05
117,7.181673691069823e-05
118,7.701717087574094e-05
119,0.00012420145823182455
120,0.00016845051428516385
121,0.00018530010114809988
122,0.00024259501695620206
123,0.00027157515383060925
124,0.00027795963041013033
125,0.0002180206216558267
126,0.00018365423442660077
127,0.0001612692585292311
128,0.0001675981231449059
129,0.00018070928598740556
130,0.00019408462950302235
131,0.00022291048299142481
132,0.00022204230222700526
133,0.0002242345714505168
134,0.00025912838068351815
135,0.00028159321514130946
136,0.00031704189540987494
137,0.00038868970675334894
138,0.0003929517491631735
139,0.00042204509270043263
140,0.0004963456938561344
141,0.000542913379480545
142,0.000684630386585476
143,0.0008857871347021392
144,0.0009832504179442816
145,0.0013417435595710493
146,0.0016487526127553494
147,0.0017055981500214389
148,0.001551777440757652
149,0.0013934155743109704
150,0.0013015803108308386
151,0.0009735680227129566
152,0.0008029201349618742
153,0.0007097377965901121
154,0.00046856719853845697
155,0.000395764458416159
156,0.0003529910515599281
157,0.00030823346440223123
158,0.00032089319949101593
159,0.00033802877133325154
160,0.00041179218421389074
161,0.00043464144385038097
162,0.0004726189727517315
163,0.0005816727014332335
164,0.0006410875859983634
165,0.0007220752360555662
166,0.0008223466908040469
167,0.000824615304002042
168,0.000797938671839977
169,0.0007344699609595856
170,0.0006896639615367037
171,0.0005523696388534772
172,0.00041650753884291694
173,0.00037882979024873024
174,0.00034958326163357216
175,0.00033977444535871306
176,0.0003382193855952787
177,0.0003415701213058284
178,0.00034917107816264417
179,0.00035755316330536547
180,0.0004189540490511891
181,0.0004565000873812274
182,0.00048664584130649784
183,0.0006782800847297488
184,0.0007466575391743026
185,0.0008080945534762344
186,0.0009972746563401632
187,0.0010357266832460173
188,0.0010866978329002828
189,0.0012100437293497653
190,0.0012295588146058257
191,0.0012911800845439097
192,0.001463552894077825
193,0.0015458428774227737
194,0.0017595238351885483
