,r9c6
0,0.00029365628774564095
1,0.0002961902881271224
2,0.0002903089218805663
3,0.00028383789143044194
4,0.00027625065063438634
5,0.0002703229650088388
6,0.0002608858074063091
7,0.0002478277489110244
8,0.00023879019845471448
9,0.00021826914615312071
10,0.0001929347981289428
11,0.0001757665894217147
12,0.00014935564267227355
13,0.00013462951251975164
14,0.0001317201471070946
15,0.0001479816838427006
16,0.00015954895183654678
17,0.00016578647826098606
18,0.0002061340897291834
19,0.00021575363369372432
20,0.0002169690757532519
21,0.0002013307584132179
22,0.00019391783733163339
23,0.00018730672180365
24,0.00019182632173698477
25,0.0001907040573053017
26,0.00018990602852655812
27,0.00019103284992294216
28,0.00018926023751251358
29,0.00019561237687073526
30,0.00022551862097688053
31,0.00023964503348854275
32,0.0002603327863533441
33,0.0002776383342450484
34,0.000265136717454895
35,0.00026075725180058046
36,0.0002701703945505729
37,0.0002832045084806937
38,0.00034836664364650395
39,0.00041661540195164553
40,0.0004546228304701803
41,0.0005966106812403399
42,0.0006715535855475201
43,0.0006893927317480398
44,0.0006698129421773716
45,0.0006582701388752517
46,0.0006520691290841437
47,0.0006906018620014469
48,0.0007004068802865984
49,0.0007061774267746167
50,0.0006750574813928888
51,0.0006548642001991106
52,0.0006302812382527678
53,0.0005590042187572416
54,0.0005350155365519791
55,0.0004968988814553674
56,0.00041049850271722893
57,0.0003745149991122844
58,0.00031674824364260045
59,0.00023453366541626624
60,0.00021073874441292404
61,0.00017632467350846834
62,0.00014636235882174538
63,0.0001429964417759497
64,0.0001498485071053609
65,0.00015465652658912425
66,0.00014935085375924077
67,0.00012101785427212852
68,9.865613732529675e-05
69,8.735637604541595e-05
70,6.949694022314282e-05
71,6.0280569317559464e-05
72,5.467487952065627e-05
73,4.47957760011555e-05
74,4.008779653578123e-05
75,3.635140177416536e-05
76,4.0155961230387933e-05
77,4.119611595260561e-05
78,4.333462568502902e-05
79,7.011410787587541e-05
80,7.849476191316259e-05
81,8.715827576965187e-05
82,9.260857424170821e-05
83,7.745181209640082e-05
84,5.7719501268627986e-05
85,3.326758778685286e-05
86,2.9351611129419674e-05
87,3.1887389781445105e-05
88,4.329815122412171e-05
89,5.1223896009892584e-05
90,7.936204249788626e-05
91,0.0001049828185969165
92,0.00010628959206928379
93,8.775530608993983e-05
94,7.306890470370807e-05
95,6.982029494100386e-05
96,0.00010101653258060209
97,0.00011669912159415262
98,0.00012039756586002231
99,6.759790894313328e-05
100,4.117202378395775e-05
101,2.3185449115110037e-05
102,6.506800397260159e-05
103,9.03870270064921e-05
104,0.00011425061877352864
105,0.00014525990137185252
106,0.00013096581833123145
107,0.00011616461423530943
108,0.00010000319483420312
109,9.86414097776822e-05
110,0.00011124299395593895
111,0.00016471821561819382
112,0.00019624734597220713
113,0.0002760692623530757
114,0.0004090573069863766
115,0.0004648019884432999
116,0.0006085081311989049
117,0.0007675295645844251
118,0.0008180071445790084
119,0.0009466652058687837
120,0.0010294019724203377
121,0.0010319208375874395
122,0.0008699657263868449
123,0.0007490447585729576
124,0.0006864600613853156
125,0.0005731668901818664
126,0.0005269376898904308
127,0.0005021004750858108
128,0.0003690946477470701
129,0.00031936284021210937
130,0.00028041220200240917
131,0.00024108510462142265
132,0.00025779995742808393
133,0.00027977000970187655
134,0.0003549528985305583
135,0.00038690031372878424
136,0.0004241377440730395
137,0.00046409070365483325
138,0.0004352225079926198
139,0.00039035561757009223
140,0.00033639347075779217
141,0.0003407109195197495
142,0.0003729663105585629
143,0.0004179986340286665
144,0.00042663742078723595
145,0.00043652767422705134
146,0.00043358483562432607
147,0.0004190146145803008
148,0.00030166841571317265
149,0.0002183889298946641
150,0.0001867869958794076
151,0.00019628447410568596
152,0.00021073973546488725
153,0.00022188093780229875
154,0.0002115887999053693
155,0.00020126089745000267
156,0.00019159442260632294
157,0.000201267504463091
158,0.00021084978206231892
159,0.00022015085393852927
160,0.00022262427597589336
161,0.0002083300476747008
162,0.0001936334194756569
163,0.00018282104255666005
164,0.0001982206780345107
165,0.0002202939520017895
166,0.00024661554944231743
167,0.00023863223929783048
168,0.0002221719392422391
169,0.00020625034504458814
170,0.0002124476624056865
171,0.0002540296255797362
172,0.0002980658363957192
173,0.0003074178994183315
174,0.0002820428924916237
175,0.00025690130993157793
176,0.0002471275226692871
177,0.00023910318812792917
178,0.00023616676910529673
179,0.0002348601034069018
180,0.0002453567260160016
181,0.00025142985964598933
182,0.00025604195307673535
183,0.0002624594948357938
184,0.00026162265336952513
185,0.00026062759502600377
186,0.000281475556243634
187,0.0002921714201268575
188,0.00030342810696148
189,0.0003141636363523576
190,0.0003003481376934859
191,0.00029118158647808317
192,0.00030575475959178616
193,0.0003426846358196936
194,0.00040367413764162723
195,0.0004718051177382764
196,0.00047091424871108
197,0.00046556720707619653
198,0.00046808785285675484
199,0.00048536359890218847
200,0.0005723535012691487
201,0.000646594820445375
202,0.0006712822997157848
203,0.0007096422896986907
204,0.0007266359959442772
205,0.0007309778812830116
206,0.0007352847166516036
207,0.0007274934081817925
208,0.0007166863262449161
209,0.0006114243777454061
210,0.0005658093719508135
211,0.0005277425740309816
212,0.0003815423306927936
213,0.0003486922381886602
214,0.00031288822510594776
215,0.0002532782769885001
216,0.00024952596213683636
217,0.0002443072183873128
218,0.0002342127262411336
219,0.00022845153031667383
220,0.00022641493727550605
221,0.00023807254094440383
222,0.00025968504135032237
223,0.0002904890918474067
224,0.00030732821273002657
225,0.00028992618370393366
226,0.0002420373110963678
227,0.0002058850732802155
228,0.00020270668997506757
229,0.00022995911950032629
230,0.000254219096908974
231,0.0002673460136009484
232,0.0003230228911717812
233,0.0003457357169772698
234,0.0003535301415206296
235,0.00032326254768554074
236,0.000310226348563346
237,0.0003007902687005399
238,0.00028577156735674105
239,0.000285161262094553
240,0.000285385455386191
241,0.00029516826286138604
242,0.00030373706682529334
243,0.0003276475426132199
244,0.0004194452887455102
245,0.000456323222604564
246,0.000510244719885984
247,0.0005837829310381684
248,0.0005941196733021812
249,0.0006108797911772347
250,0.0006309960842681472
251,0.000640423963937404
252,0.0006424310433105317
253,0.0006274629957337429
254,0.0006041185910210871
