,r4c4
0,0.0002628151382450991
1,0.00020676164614334607
2,0.00019185900726950293
3,0.00018606742852835356
4,0.00020696232962545526
5,0.00022732534855553492
6,0.0002903245889454732
7,0.00039567558533943546
8,0.0004502415626654655
9,0.0005306869126939311
10,0.0005806210625073262
11,0.0005714163289402486
12,0.0005426989449486921
13,0.0005226148398379045
14,0.000517216399086784
15,0.0005115964937726906
16,0.000505924944551615
17,0.0005002686848647333
18,0.0004763524149096038
19,0.00046593873987681834
20,0.00045940543511932644
21,0.0004489531690351698
22,0.0004436932688231416
23,0.00043869068679793833
24,0.000400761358454619
25,0.0003942279869306022
26,0.0003914553400693231
27,0.00041690320072156447
28,0.0004320014488216271
29,0.0004612283281644188
30,0.0005262130213958614
31,0.0005481518004175765
32,0.0006051743518761807
33,0.0007029140011572648
34,0.0007445955748146642
35,0.0008495243764269769
36,0.0009690750469844494
37,0.0010116196781254998
38,0.0011571078750285645
39,0.0013079309843343416
40,0.0013984309390248756
41,0.001743875931180521
42,0.0019793918097604957
43,0.0021000320098539574
44,0.0025191934547459886
45,0.0026876653267848853
46,0.0027643976568326287
47,0.00281640253703141
48,0.0027883204365239324
49,0.002751623484696548
50,0.0023985377648187583
51,0.00227772066681767
52,0.002125842646419046
53,0.0016462041500719608
54,0.001507914886796017
55,0.0013136710693931897
56,0.0009514985923977568
57,0.0008702822225401645
58,0.000736061677906155
59,0.0005423919524673687
60,0.000490729350858301
61,0.00040077815023562225
62,0.0003073301463463397
63,0.00028424257915949275
64,0.00024848062908462655
65,0.00021998129454829635
66,0.0002080433364145454
67,0.00018195768519521692
68,0.00016137540165915844
69,0.0001485677127275962
70,0.00010049944358632705
71,7.808487963178041e-05
72,6.829818900403297e-05
73,8.197470738532085e-05
74,9.011473521035379e-05
75,9.661859259205454e-05
76,0.00010993465519723431
77,0.00011119947022927435
78,0.00011332152070399744
79,0.00014135447103419692
80,0.0001525016497857879
81,0.00016484540818100814
82,0.00017887443378361914
83,0.00017065369190667846
84,0.0001557584273955065
85,0.00012795268354941835
86,0.00011541481483646171
87,9.475183394012671e-05
88,7.161710288011601e-05
89,6.595439020860615e-05
90,6.215043755934545e-05
91,6.313285022116931e-05
92,6.67403857692596e-05
93,9.954422826840645e-05
94,0.0001204080962847515
95,0.00012053957960216567
96,7.403379736738905e-05
97,4.359731890861967e-05
98,2.7514060595083294e-05
99,5.734658275707285e-06
100,9.685799064360599e-07
101,0.0
102,2.3430961111358778e-05
103,3.4834863493870725e-05
104,4.575059942534778e-05
105,0.00011194425081412939
106,0.000133342080774746
107,0.0001563420836642341
108,0.00018354892176731578
109,0.00016602141705832695
110,0.00014347942251442534
111,0.0001125345069538398
112,0.000107519933660771
113,0.00010838165247559866
114,0.00012137400426162903
115,0.0001347695624296378
116,0.00017807258784996306
117,0.00022451366664549423
118,0.00023174505214202526
119,0.00021824401621803674
120,0.000199316621120556
121,0.0001889644280421914
122,0.00015223080470102565
123,0.00012958546225328745
124,0.00011970115228953672
125,0.000109088686605622
126,0.00010930689296218168
127,0.00011237457108185495
128,0.00017805949159611104
129,0.00020393521884628919
130,0.00022448958395997586
131,0.00024034728792705868
132,0.00022539851672286092
133,0.00020966600332822388
134,0.00018851397766721941
135,0.00019340414155618335
136,0.00020223697222646495
137,0.0002235404076742292
138,0.00022952553255597982
139,0.00023778591705705837
140,0.00024405853525654605
141,0.0002354708612505854
142,0.0002168358968553554
143,0.0002011218677731269
144,0.00020811336448414876
145,0.0002768114148672644
146,0.0003428551186561808
147,0.00035766233147436246
148,0.00034535338848353236
149,0.0003286088314433369
150,0.00031839279867745314
151,0.00029176715649665793
152,0.0002796847556630168
153,0.0002741230306986896
154,0.0002843996207026248
155,0.0002901112665602073
156,0.0002946555397904621
157,0.0002851561121359409
158,0.00027724238610860735
159,0.0002725076179679376
160,0.000329533207303423
161,0.0003753220773008227
162,0.00043340805258419403
163,0.0005357391022471082
164,0.0005401522693908144
165,0.0005418516443649089
166,0.0005324806287676581
167,0.0005150846774809345
168,0.0004785654915259999
169,0.00043328006115603024
170,0.0004231692390800268
171,0.00041887181170717193
172,0.0004238471529902308
173,0.00043157788198789157
174,0.00047672390385394565
175,0.0005132907944908954
176,0.0005282054680308452
177,0.0005751546200506321
178,0.0005983668703843357
179,0.0006072788327398858
180,0.0005981475423501583
181,0.0005958437967929973
182,0.0005958124499095737
183,0.0006745132574098747
184,0.0007097940578616366
185,0.0007429571910610327
186,0.0008549364375491695
187,0.0008811434335891117
188,0.0009243685825348359
189,0.0010756342537506724
190,0.001137831778401678
191,0.001243164651022466
192,0.0014388788008358425
193,0.00147773030842058
194,0.0015856437739938767
195,0.0017782562848947078
196,0.0018817028362717832
197,0.0021465010771767115
198,0.002447882165918032
199,0.002566795116013268
200,0.0028708950377968278
201,0.0030905817083625316
202,0.0031427850520564706
203,0.003073650485472122
204,0.0029962438135232553
205,0.0029433379524547
206,0.0027295813177110814
207,0.0026084799278471237
208,0.0025230167730257856
209,0.002095339925552633
210,0.001935840172508188
211,0.0018089915535672214
212,0.0013844334706202414
213,0.0012922898910038743
214,0.0011827413132366644
215,0.0009167609710090238
216,0.0008592131672993166
217,0.0007793710194397323
218,0.0006396509495359587
219,0.0006119040169832969
220,0.000565875809024218
221,0.000500906772542856
222,0.00048257775907116165
223,0.00044458630447645665
224,0.0003987061512862633
225,0.0003787614546793911
226,0.0003369358322445983
227,0.00030534273056900433
228,0.00029889271705127994
229,0.00030254100020949456
230,0.00030859366276947116
231,0.00031272159998063317
232,0.0003388777366202603
233,0.00034868406995962266
234,0.00035099048617777824
235,0.0003185727745218759
236,0.0003074609119236116
237,0.00030044868420661956
238,0.00030981151088959577
239,0.00031691898105430595
240,0.000326565702339329
241,0.0003802300177770316
242,0.0003954679414471093
243,0.0004121183443339418
244,0.00043116833612437736
245,0.00042941210945436143
246,0.00042914077029731514
247,0.00043292359467978273
248,0.00043666816184350336
249,0.000444114966194181
250,0.00045353829336366254
251,0.0004568720127166341
252,0.00045931126093600615
253,0.0004559019618768888
254,0.0004479347124648982
255,0.000422239348304987
256,0.0004009688354306331
257,0.00038985901922635585
258,0.0003634822359136853
259,0.00035104663682518865
260,0.00034620232484717487
261,0.00034381355212059983
262,0.00035452887831271965
263,0.00036766048503965835
264,0.0005452158092532183
265,0.0005794699408521503
266,0.0006025059275602139
267,0.0005108870326794885
268,0.00048521343440668284
269,0.00046440654828098273
270,0.00047785552968386124
271,0.0004919634633038824
272,0.0005076234181776238
273,0.0005224688214480275
274,0.0005210961350800914
275,0.0005181882860059632
276,0.0005142176140057915
277,0.0005134853187610859
278,0.000527478213658767
279,0.0005532415461409894
280,0.0005720576547948272
281,0.0006039204431559772
282,0.0006174352897356337
283,0.0006108702708788315
284,0.0005800967783708336
285,0.0005565434512448635
286,0.0005415353379533668
287,0.0005070632136507546
288,0.0005043351000615596
289,0.000510771893807361
290,0.0005390224462570701
291,0.0005266820228497668
292,0.00051010843484979
293,0.00035845451629187077
294,0.00033567644866935593
295,0.0003193384463523608
296,0.0003626690864073697
297,0.0003704855436229555
298,0.0003670710701581612
299,0.0003265414527374985
300,0.000314000469366157
301,0.00031304300067802225
302,0.0003326866603775887
303,0.0003411253649132734
304,0.00031513536341746466
305,0.00025942922416131525
306,0.0002276149383421527
307,0.00021068709717622755
308,0.00022209277588213349
309,0.0002451705050215418
310,0.0002949690653762435
311,0.0003222061754216984
312,0.0003298604100118227
313,0.0003482696835230558
314,0.00035627358775719653
315,0.0003600102430877208
316,0.00037703667504258604
317,0.0003889134717012355
318,0.00039972611010334424
319,0.0004335483624361952
320,0.00043497312669352504
321,0.0004352467359124167
322,0.0004256601645896433
323,0.00042289085605460745
324,0.0004192431003519392
325,0.0004130445629501141
326,0.000414840515702424
327,0.0004239223988637523
328,0.0004461713417767219
329,0.00045380101963900135
330,0.00047031622031298484
331,0.0004901585638372409
332,0.0004939947680563369
333,0.00048347112855710097
334,0.00046824929561951553
335,0.0004627277707798088
336,0.00046980852765792094
337,0.00048314257048824653
338,0.0004950540189733003
339,0.0005447036766242509
340,0.0005775921323403576
341,0.000598637041127197
342,0.0006993505381922371
343,0.000749907552916086
