,r11c9
0,0.0003310248772952289
1,0.0003182528241489948
2,0.00031145117877007093
3,0.0003166614973984864
4,0.000351797577525599
5,0.0003733575683810768
6,0.0004212707704191714
7,0.0004894898421081519
8,0.000517384342575663
9,0.0005517397665865003
10,0.000563787901935994
11,0.0005465895698771242
12,0.000522861076540753
13,0.0005235079544209315
14,0.0005427631965221333
15,0.000623852936696633
16,0.0006534358267788707
17,0.0006514968517655436
18,0.0005646801637598482
19,0.0005411925561701644
20,0.0005358857717833257
21,0.0006204320114454088
22,0.0006414739002371455
23,0.00065695013937642
24,0.0006169888075135255
25,0.0006024650450002681
26,0.0005895126791729866
27,0.0005901341866913897
28,0.0005968424712620239
29,0.0006023155695162737
30,0.0006008966205742493
31,0.0005922087843342692
32,0.0005932743262598083
33,0.0006174623654849657
34,0.0006468798705310289
35,0.0006889572922550407
36,0.0007128138714189306
37,0.000697332881971332
38,0.0006574920725958872
39,0.000638547776654643
40,0.0006501543456342863
41,0.000748001461872618
42,0.00081602141868252
43,0.0008485854722325339
44,0.0009556072516999508
45,0.0009891596745687653
46,0.0009969409449838487
47,0.0009068371763081142
48,0.00086033112705534
49,0.0008205179570436909
50,0.0006128414566212222
51,0.0005667328144475099
52,0.0005226264139633505
53,0.0005077674362568264
54,0.000534537533436437
55,0.0005620286955739901
56,0.0005814244300342274
57,0.0005608760823545343
58,0.0005257210009941257
59,0.0004733113269399483
60,0.00045824555159311783
61,0.000429842038338966
62,0.0003977259202872816
63,0.0003868783125800315
64,0.000364031691426683
65,0.00034425081045970634
66,0.00033693293394853203
67,0.00032370995977499384
68,0.0003121043727026578
69,0.0003033770611351247
70,0.0002592615448358296
71,0.00024107323790702176
72,0.0002356170178432415
73,0.000302534704086708
74,0.0003256489347883209
75,0.00033951436825915507
76,0.00022935839374323337
77,0.0001844028026665599
78,0.00014365057100575282
79,0.00015138630215221041
80,0.00019593302171855973
81,0.0002472965133439708
82,0.00031835226216737504
83,0.0003068051118488349
84,0.0002822863556273992
85,0.00022950934208818856
86,0.00019876971212200116
87,0.00015330566555742884
88,0.00011546498942463
89,0.00012739393847675283
90,0.00019587524841564703
91,0.0002718151368752298
92,0.0002937131957627723
93,0.00032401248010873444
94,0.0003481489161241933
95,0.0003646137103485157
96,0.00046290889477535347
97,0.0005151481813736967
98,0.0005353439314469821
99,0.0004891569888000295
100,0.00046166561435819376
101,0.0004415481780271662
102,0.0004570942652754284
103,0.00047717432278369416
104,0.0004978485669029912
105,0.0005790778042602013
106,0.0005988996732227445
107,0.000629255603005118
108,0.0007313644225299884
109,0.0007854232099066044
110,0.0008498783655067424
111,0.0009192056655510899
112,0.0008989294786927203
113,0.0008515616200116328
114,0.0007803790326483703
115,0.0007629711960695903
116,0.0007402263615507488
117,0.0007270217251596234
118,0.0007320502582460307
119,0.0008036412527039991
120,0.0008572566956623976
121,0.0008578088725635021
122,0.0007352140166658927
123,0.000646334646595181
124,0.0006024819231907377
125,0.0005222351637084852
126,0.0004957872515467944
127,0.0004861428916304092
128,0.0005322714638686542
129,0.0005515771680440354
130,0.0005670739476226551
131,0.00047945027776963734
132,0.00041689954466082705
133,0.0003477767201786946
134,0.00022211065725943546
135,0.00022797984895999834
136,0.00023512959374834147
137,0.00024298255666586787
138,0.00023434961435196713
139,0.00022440107547463332
140,0.00022089977978341326
141,0.00023669135712749256
142,0.0002765026296696155
143,0.00031455473565678753
144,0.00030503095130392276
145,0.00019881884729441407
146,9.742805412244084e-05
147,7.688629583692011e-05
148,0.00013122804634214052
149,0.00018000409677263168
150,0.00020133912470261984
151,0.00023053942919852737
152,0.00023880853504805834
153,0.000239579119979926
154,0.00022257935877041045
155,0.0002133432732585546
156,0.00020583174870357973
157,0.00018892702019857974
158,0.0001864551614358329
159,0.00018451585469706427
160,0.0001856075896634739
161,0.00018663263454710008
162,0.00019232995266185035
163,0.0002218926472992022
164,0.00024437856347634985
165,0.00028014179045437315
166,0.00033436131871098103
167,0.00034382686534531487
168,0.00035974436566703344
169,0.0003787329535892428
170,0.0003860454694172805
171,0.0004072675912759586
172,0.00042971023718650116
173,0.00043876642135685717
174,0.00046146707004687484
175,0.0004777756613952468
176,0.0004841894533878275
177,0.000489710784521289
178,0.0004955776939508137
179,0.0005017327533679477
180,0.0005790656100329672
181,0.000615497608770316
182,0.0006402267585358453
183,0.0006473588820687296
184,0.000642974878246374
185,0.0006392806908453602
186,0.0007315330186684378
187,0.0007814509569714062
188,0.0008421897659110303
189,0.0009615604760893851
190,0.0009700342963434492
191,0.0009932538963143384
192,0.0010557640129600766
193,0.0010882004450981902
194,0.0011639608435558208
195,0.0012880338945593281
196,0.0013479999026411347
197,0.0014838946797457206
198,0.0016228049738048172
199,0.0016603470054839353
200,0.0017172408379058021
201,0.0017540408661171028
202,0.0017653589401146774
203,0.0017892711695386533
204,0.001796545245022516
205,0.0017935177859521073
206,0.0017290985628518056
207,0.0016941378858692045
208,0.0016713086736670324
209,0.0015865591924613767
210,0.0015632057213712668
211,0.001547088774445028
212,0.0015900754821425581
213,0.0016097521084377422
214,0.001625315073876474
215,0.001596494767508452
216,0.0015642472065677798
217,0.00150819237413286
218,0.001376393742781409
219,0.0013244639029440274
220,0.0012540652093373504
221,0.0011890318695614848
222,0.001219482606475073
223,0.0012672358637742362
224,0.0013063095248933884
225,0.0013030029520363997
226,0.0012567880781072628
227,0.0011912418775296336
228,0.0011428786965644892
229,0.0009675854593263508
230,0.0008568643440790662
231,0.0008196758255685746
232,0.0008223020428138164
233,0.0008217932025244054
234,0.0008158178454135061
235,0.0007013074437156037
236,0.0006604859477825863
237,0.0006334971639228416
238,0.0006297357954853906
239,0.000633258613523263
240,0.0006337598108584993
241,0.000579349951812507
242,0.0005571930276593413
243,0.0005286677977061499
244,0.0004766265910035074
245,0.00046702781016280095
246,0.0004520623883965696
247,0.00043000317728948776
248,0.00042581677567819694
249,0.00040898959131243024
250,0.00037632738683874954
251,0.00035144287014538266
252,0.0003173124488670879
253,0.00031005458812281166
254,0.0003373014809141729
255,0.0004092409463140552
256,0.00045319233813385397
257,0.00046141492280745203
258,0.00046345819229962466
259,0.00046742557550533977
260,0.00047310762098075776
261,0.0005091772163076445
262,0.0005244441897693269
263,0.000534279172393485
264,0.0005237857014986917
265,0.0005352852691198859
266,0.0005515270111572624
267,0.0007495077872959654
268,0.0007928489502623761
269,0.000824070603833274
270,0.0007753415960511099
271,0.0007543248653168659
272,0.0007594806615516965
273,0.0008438578539287298
274,0.0009079226217601508
275,0.0010900172788039127
276,0.0013976944968387686
277,0.001531490380729131
278,0.0017858815989761714
279,0.0020256823380891353
280,0.0020893737555705205
281,0.002162314607195533
282,0.0021758638665134496
283,0.0021428989824778164
284,0.001972686544986667
285,0.0018301757029842174
286,0.0017303255489152728
287,0.00141538621078147
288,0.001286991308034349
289,0.0012198116383061082
290,0.0010465168876255238
291,0.001000377182681458
292,0.00096805993286001
293,0.0008891394249623753
294,0.0008801978718356258
295,0.0008760246065518232
296,0.0009138214431771592
297,0.0009105590959560474
298,0.0008768065497628119
299,0.0007463599649663189
300,0.000705152924456032
301,0.0006412778505011476
302,0.0005595563458575898
303,0.0005433560031553276
304,0.0005379071872034043
305,0.0005484726690570646
306,0.0005599022558790943
307,0.0005118715566895776
308,0.00043789259019853946
309,0.0003871903335304201
310,0.00030998423579115274
311,0.0002871021067465331
312,0.0002999294253513413
313,0.00033250864538854607
314,0.0003396930223129944
315,0.0003371613335495969
316,0.00032934671809312186
317,0.00033975681974992693
318,0.0003528705633700482
319,0.0003932290369316513
320,0.0003939173406849793
321,0.000392482747571128
322,0.0003682020242575817
323,0.0003654725607858898
324,0.00036079443591797555
325,0.00034619797245693254
326,0.00033211864242134123
327,0.0002865515486655838
328,0.00019206268810804527
329,0.0001790680604595012
330,0.000210536557566018
331,0.00028388236634114324
332,0.0003128523870354775
333,0.00035791881421670544
334,0.00039285483736448525
335,0.000402779982963676
336,0.0004239044979284115
337,0.0004371205589437463
338,0.00044110827028452393
339,0.00040806340061040706
340,0.00037859906920100465
341,0.00035614591422847145
342,0.0002880661008798834
343,0.00026384120032365313
344,0.0002498414047799448
345,0.00024180509057632573
346,0.00025725695453014994
347,0.00027446488008879143
348,0.00031351887652376453
349,0.0003117102430709592
350,0.00030581176664841003
351,0.00027534480172621733
352,0.000260707416614696
353,0.0002415692603253686
354,0.00022322858526671547
355,0.0002460414898461777
356,0.00030577424186645387
357,0.00039545726326105406
358,0.0004187641202921074
359,0.0004475689151784792
360,0.00046500972526615617
361,0.0004634112597841442
362,0.0004247755558620373
363,0.0003957105555392581
364,0.0003932442564949128
365,0.00048093206877932246
366,0.0005396517843769592
367,0.0005667268035825076
368,0.000547293477995226
369,0.0005273291661280507
370,0.0005104869081582167
371,0.00048120243828326116
372,0.0004754022587435731
373,0.00047192704994108206
374,0.00037320959229607855
375,0.0003373338705862927
376,0.000305265826185608
377,0.0003144253627345554
378,0.0003563902233817164
379,0.0003979700967503499
380,0.0004223332870086831
381,0.0003964677254942666
382,0.0003629026041755469
383,0.0003375979638448759
384,0.000360653240301004
385,0.00040852398148257115
386,0.00045276906973936343
387,0.0004505571643016884
388,0.0004263718319561346
389,0.0004129650288118678
390,0.0004237646026751712
391,0.00045726749230104284
392,0.000462248601918316
393,0.00044636525604806665
394,0.0003460336754802066
395,0.0003142042743622239
396,0.00031108228680997086
397,0.00039229849399183406
398,0.00041848974354483396
399,0.0004352244428574767
400,0.00040541073821295917
401,0.0003983968947035393
402,0.0003924390659649753
403,0.00039846871989615904
404,0.000405422069954045
405,0.000416567036347164
406,0.0004435091663407992
407,0.00045097479336367145
408,0.0004525372334627234
409,0.0004401813365175115
410,0.0004315087331098106
411,0.0003963529750295011
412,0.0003408302169339238
413,0.000316541439326655
414,0.00030474630433697673
415,0.0003244737642388348
416,0.00036092460498126755
417,0.00040053514382415683
418,0.0004033193685317515
419,0.00038348159001702804
420,0.0003706304535255115
421,0.0003971426540777884
422,0.00043646557369377475
423,0.0005477792301939004
424,0.0005667798531151317
425,0.0005661199052525534
426,0.0005043721467477307
427,0.0004956302657988017
428,0.0004897977762010997
429,0.0004889616555909855
430,0.0004958654591369108
431,0.000506292664557486
432,0.0005360651158260835
433,0.0005485691613535233
434,0.000569113408906758
435,0.0006033165311328382
436,0.0006069102455320939
437,0.000593400076740218
438,0.0005605765475497682
439,0.0005482137109083177
440,0.0005053061661701761
441,0.0004623286937089409
442,0.0004571655729763592
443,0.0005159467373948018
444,0.0005809589130874919
445,0.0006167659808998799
446,0.0006932355685446428
447,0.0007314083827855121
448,0.0007452413071630673
449,0.0007032541943732824
450,0.0006668166624555675
451,0.0006353441846437513
452,0.0005782120937406945
453,0.0005796591730001683
454,0.0005864796338461409
455,0.0006036222227618007
456,0.0006092885046442329
457,0.0006173099310100322
458,0.000645075655661106
459,0.000662125839137748
460,0.0006833096666114453
461,0.0007108431569153492
462,0.0007084895781760668
463,0.0007070453252173554
464,0.0007162468316691767
465,0.000741571057069921
466,0.0007982188420972289
467,0.0008509118494856035
468,0.0008476333671390112
469,0.0007848445215082056
470,0.0007244970158995175
471,0.0007071299682810395
472,0.000674890926049708
473,0.000665571710142182
474,0.0006716523967153046
475,0.0007421417442506678
476,0.0007652611366001523
477,0.0007685691955871194
478,0.00063217042138457
479,0.0005976897909230473
480,0.0005795087288778844
481,0.0007028960768555262
482,0.0007430873475255345
483,0.0007850171779660604
484,0.0008538570141084549
485,0.0008593103415263843
486,0.0008469955387288804
487,0.0007641737804095722
488,0.0007386371578430668
489,0.0007312417637306947
490,0.0007689721756536004
491,0.0008030359997322353
492,0.0008203698349994984
493,0.0008008897493939659
494,0.0007673652976143889
495,0.0007394015328746673
496,0.0007482252173175001
497,0.000784650515200928
498,0.000865061916654366
499,0.0009244867080436589
500,0.0009553235335642413
501,0.00098653296636987
502,0.000966108405355972
503,0.0009278909939467315
504,0.0008417223913018219
505,0.0008403359912601292
506,0.0008556084580951248
507,0.0009288213113132484
508,0.0009512574819431705
509,0.0009717514133814202
510,0.0010033444667567567
511,0.000992010416861914
512,0.0009648330935301694
513,0.0008556080732936125
514,0.0008280810450013114
515,0.0007794436067100525
516,0.0006933730753747035
517,0.0006780288231541411
518,0.0006643681040878402
519,0.0006577252755813467
520,0.000657259493254258
521,0.0006510929428678261
522,0.0006426555195292167
523,0.0006387282220258671
524,0.0006211950064991722
525,0.0006032996529423686
526,0.0005920143932254793
527,0.0005131338781470863
528,0.00046164430431582405
529,0.0004346811694672254
530,0.00034872752490848605
531,0.00031890004702363244
532,0.00030530222310106266
533,0.000351812107099942
534,0.00037928075171451785
535,0.0004045789831096566
536,0.0003796405013214469
537,0.0003550793638575897
538,0.00032986211327725937
539,0.00030513494059536205
540,0.0003183836832012054
541,0.0003209095335968304
542,0.00028343656715465774
543,0.0002464353275594876
544,0.0001979446976796724
545,0.00015956107855516206
546,0.00018462626619305335
547,0.00021453111571991066
548,0.00021894562501387766
549,0.00018591788564156607
550,0.00012529747083895833
551,0.00010187680146268842
552,0.00012508442349133173
553,0.00017619728194967878
554,0.0001888880490936981
555,0.00017559662005802706
556,0.00011274904044742971
557,9.8452513842388e-05
558,0.00010225287328824696
559,0.0001427973068248156
560,0.00015031424513899772
561,0.00015298492686243443
562,0.00011553610074409938
563,0.000105106959373847
564,9.086750679448706e-05
565,3.125557316075448e-05
566,2.9695297238483612e-05
567,4.4828216468501705e-05
568,0.00012154475910863206
569,0.00013744031247513302
570,0.00014628025146460518
571,0.00013760086758887751
572,0.0001295201990399102
573,8.855831822690052e-05
574,2.8683376740229717e-05
575,1.2176580236630348e-05
576,0.0
577,1.4165716648196465e-06
578,1.0880093712438167e-05
579,6.160712947490551e-05
580,0.00010175126063275788
581,0.00012094806465326208
582,8.631731250658474e-05
583,5.1743672865740375e-05
584,2.4459049622649262e-05
585,1.1811837365663883e-05
586,2.587591532890036e-05
587,4.3886859279287636e-05
588,7.104751141723797e-05
589,7.164198331214907e-05
590,6.975493792635515e-05
591,2.986930182853319e-05
592,1.3594699068909714e-05
593,6.115976719813912e-07
594,1.2008763652968763e-05
595,4.4042990502542694e-05
596,8.731431332137629e-05
597,0.0001413064132690124
598,0.00013735625324822628
599,0.00012180351556831047
600,9.893022767016094e-05
601,9.7094640861773e-05
602,8.828332314340386e-05
603,7.527986363670212e-05
604,6.613567934119295e-05
605,4.113933269384857e-05
606,2.6225640192983587e-05
607,2.5528309526938203e-05
608,2.763678031811231e-05
609,2.800968748295777e-05
610,2.714971714049274e-05
611,2.9517954163589555e-05
612,5.024725409098153e-05
613,7.476486917689806e-05
614,0.0001982326751700523
615,0.00021843649280607792
616,0.00022979065853170072
617,0.00016633289518237538
618,0.00015163090322384398
619,0.00013350174957578597
620,9.416900027151356e-05
621,9.735240745273362e-05
622,0.00012210449271529662
623,0.00020408769555974913
624,0.0002217049968513861
625,0.00021796956934347003
626,0.00018226164763107376
627,0.00016969611347577513
628,0.0001534176693355377
629,0.00014233829169673598
630,0.0001428810343262807
631,0.00014341215329635108
632,0.00014548925878356904
633,0.0001487189111451546
634,0.00016994631407286329
635,0.00018592639108188925
636,0.0001947518137660361
637,0.00017203142077773314
638,0.0001527937733939548
639,0.00013730740999420203
640,0.00012112704114423068
641,0.00012519818674118299
642,0.00013166014792169057
643,8.228409772352913e-05
644,5.349673434566364e-05
645,2.5293339108325774e-05
646,9.316077784848285e-06
647,3.2016118753856907e-05
648,6.171259295420739e-05
649,0.00011176696595060934
650,0.00012056215915871214
651,0.00012605481063739294
652,0.00012131385829773743
653,0.0001122127332914524
654,9.355366682702978e-05
655,7.445368152081881e-05
656,7.404992123609908e-05
657,7.255737436069483e-05
658,6.963873185035182e-05
659,6.641158202549786e-05
660,7.361446259507983e-05
661,9.723906217693883e-05
662,0.00012620601109368374
663,0.00021859594659135627
664,0.00025084697074563903
665,0.0002551600251305407
666,0.00021594443859844522
667,0.00019990516850161642
668,0.00018912541855070435
669,0.0001536917674334402
670,0.00015387133704949842
671,0.00015660581620986763
672,0.00019051847963926473
673,0.0002115526193246851
674,0.00024546231049412526
